BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15070,6083975,15070.dat,"Plate, Modified 1 x 1 with Tooth Vertical",115,297,Pearl Gold,Pearl Colors,2,0.25
3020,4211065,3020.dat,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,4221744,3024.dat,Plate 1 x 1,88,70,Reddish Brown,Solid Colors,2,0.2
3070b,4211288,3070b.dat,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,1,0.16
3623,4211152,3623.dat,Plate 1 x 3,88,70,Reddish Brown,Solid Colors,1,0.53
4070,4225469,4070.dat,"Brick, Modified 1 x 1 with Headlight",88,70,Reddish Brown,Solid Colors,1,0.36
54200,4504376,54200.dat,Slope 30 1 x 1 x 2/3,88,70,Reddish Brown,Solid Colors,2,0.21
87580,6126083,87580.dat,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.5
98138pb012,6039771,98138p08.dat,"Tile, Round 1 x 1 with Black and Silver Padlock Pattern",115,297,Pearl Gold,Pearl Colors,1,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
13,4.68,,,,,,,,
