BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
20482,6271752,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",85,72,Dark Bluish Gray,Solid Colors,1,0
2420,4211257,2420,Plate 2 x 2 Corner,88,70,Reddish Brown,Solid Colors,2,0.54
2431,4211356,2431,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,0.54
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,4211399,3024,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,4,0.2
3024,4221744,3024,Plate 1 x 1,88,70,Reddish Brown,Solid Colors,1,0.2
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,1,0.16
33291,6170302,33291,"Plate, Round 1 x 1 with Flower Edge (4 Knobs / Petals)",88,70,Reddish Brown,Solid Colors,1,0.11
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
4589b,4567333,4589b,Cone 1 x 1 with Top Groove,20,34,Trans-Green,Transparent Colors,2,0.25
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
98138pb014,6287854,98138pb014,"Tile, Round 1 x 1 with Cookie Tan Frosting and Chocolate Sprinkles Pattern",150,84,Medium Nougat,Solid Colors,1,0.11
98138pb091,,98138pb091,"Tile, Round 1 x 1 with Cinnamon Roll Pattern",150,84,Medium Nougat,Solid Colors,1,0.12
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,2,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
23,8.5,,,,,,,,
