BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6066097,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",86,71,Light Bluish Gray,Solid Colors,2,0.3
30044,6143849,30044,Window 1 x 2 x 2 2/3 with Rounded Top,85,72,Dark Bluish Gray,Solid Colors,2,0.95
30045,4105221,30045,Pane for Window 1 x 2 x 2 2/3 Twisted Bar with Rounded Top,11,0,Black,Solid Colors,2,0.27
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211398,3023,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,4,0.36
3024,4211399,3024,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.2
3031,4243838,3031,Plate 4 x 4,88,70,Reddish Brown,Solid Colors,1,2.22
3068b,4271949,3068b,Tile 2 x 2 with Groove,88,70,Reddish Brown,Solid Colors,2,0.48
3069b,4211151,3069b,Tile 1 x 2 with Groove,88,70,Reddish Brown,Solid Colors,2,0.26
3659,4211435,3659,Arch 1 x 4,86,71,Light Bluish Gray,Solid Colors,2,1.25
36841,6248078,36841,Bracket 1 x 1 - 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.28
44301a,4210883,44301a,Hinge Plate 1 x 2 Locking with 1 Finger On End with Bottom Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.5
44302a,4521427,44302a,Hinge Plate 1 x 2 Locking with 2 Fingers on End and 9 Teeth with Bottom Groove,88,70,Reddish Brown,Solid Colors,2,0.5
54200,4521921,54200,Slope 30 1 x 1 x 2/3,86,71,Light Bluish Gray,Solid Colors,6,0.21
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,2,0.38
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,2,0.45
92338,6311445,92338,Chain 5 Links,85,72,Dark Bluish Gray,Solid Colors,2,0.33
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
38,18.42,,,,,,,,
