BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2420,4210635,2420,Plate 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,0.54
2431,4211356,2431,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,0.54
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211150,3023,Plate 1 x 2,88,70,Reddish Brown,Solid Colors,2,0.36
3024,4221744,3024,Plate 1 x 1,88,70,Reddish Brown,Solid Colors,2,0.2
3024,4211399,3024,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,4,0.2
3024,4549436,3024,Plate 1 x 1,69,28,Dark Tan,Solid Colors,2,0.2
3024,4159553,3024,Plate 1 x 1,2,19,Tan,Solid Colors,2,0.2
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3070b,6055171,3070b,Tile 1 x 1 with Groove (3070),80,288,Dark Green,Solid Colors,1,0.16
3070b,4550169,3070b,Tile 1 x 1 with Groove (3070),59,320,Dark Red,Solid Colors,2,0.16
3070b,6055172,3070b,Tile 1 x 1 with Groove (3070),69,28,Dark Tan,Solid Colors,1,0.16
36840,6238874,36840,Bracket 1 x 1 - 1 x 1 Inverted,88,70,Reddish Brown,Solid Colors,4,0.29
41740,6257604,41740,"Plate, Modified 1 x 4 with 2 Studs with Groove",88,70,Reddish Brown,Solid Colors,2,0
54200,4504376,54200,Slope 30 1 x 1 x 2/3,88,70,Reddish Brown,Solid Colors,2,0.21
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,2,0.12
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,2,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
35,10.63,,,,,,,,
