BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092597,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",59,320,Dark Red,Solid Colors,4,0.3
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.64
3070b,6065504,3070b,Tile 1 x 1 with Groove (3070),110,191,Bright Light Orange,Solid Colors,1,0.16
34103,6208727,34103,"Plate, Modified 1 x 3 with 2 Studs (Double Jumper)",59,320,Dark Red,Solid Colors,2,0.43
36840,6238874,36840,Bracket 1 x 1 - 1 x 1 Inverted,88,70,Reddish Brown,Solid Colors,1,0.29
49668,6248946,49668,"Plate, Modified 1 x 1 with Tooth Horizontal",88,70,Reddish Brown,Solid Colors,1,0.253
87580,4613761,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",59,320,Dark Red,Solid Colors,1,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
13,5.743,,,,,,,,
