BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15712,6344022,15712,"Tile, Modified 1 x 1 with Open O Clip",85,72,Dark Bluish Gray,Solid Colors,2,0.2
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
32828,6306775,32828,Bar   1L with 1 x 1 Round Plate with Hollow Stud,88,70,Reddish Brown,Solid Colors,1,0.16
4599b,6153585,4599b,Tap 1 x 1 without Hole in Nozzle End,88,70,Reddish Brown,Solid Colors,1,0.21
93091,6114649,93091,Friends Accessories Handbag with Zipper,115,297,Pearl Gold,Pearl Colors,1,0.7
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
8,3.41,,,,,,,,
