BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15712,6344022,15712,"Tile, Modified 1 x 1 with Open O Clip",85,72,Dark Bluish Gray,Solid Colors,2,0.2
2420,4210635,2420,Plate 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,0.54
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,1,0.2
3040,4211135,3040,Slope 45 2 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.69
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
64728,6270088,64728,"Minifigure, Utensil Dynamite Sticks Bundle",5,4,Red,Solid Colors,1,0.5
85984,4567887,85984,Slope 30 1 x 2 x 2/3,85,72,Dark Bluish Gray,Solid Colors,1,0.34
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
10,4.820001,,,,,,,,
