BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.3
15712,6344022,15712,"Tile, Modified 1 x 1 with Open O Clip",85,72,Dark Bluish Gray,Solid Colors,7,0.2
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
30374,6116613,30374,Bar   4L (Lightsaber Blade / Wand),88,70,Reddish Brown,Solid Colors,1,0.3
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,1,0.16
35646,6207259,35646,Rock 1 1/3 x 1 1/3 x 1,115,297,Pearl Gold,Pearl Colors,1,0.33
87994,6075208,87994,Bar   3L (Bar Arrow),88,70,Reddish Brown,Solid Colors,1,0.2
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
15,5.65,,,,,,,,
