BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,0.43
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.3
15712,6344022,15712,"Tile, Modified 1 x 1 with Open O Clip",85,72,Dark Bluish Gray,Solid Colors,4,0.2
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,3,0.16
3626cpb0001,4651445,3626cpb0001,"Minifigure, Head Skull Standard Pattern - Hollow Stud",1,15,White,Solid Colors,1,0.55
44658a,4542586,44658a,"Minifigure, Weapon Knife",85,72,Dark Bluish Gray,Solid Colors,1,0.1
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
93160,4600294,93160,"Bone, Short",1,15,White,Solid Colors,3,0.17
98138,6284572,98138,"Tile, Round 1 x 1",1,15,White,Solid Colors,1,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,6,,,,,,,,
