BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11090,6341465,11090,Bar Holder with Clip,1,15,White,Solid Colors,4,0.24
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,4,0.43
18674,6093053,18674,"Tile, Round 2 x 2 with Open Stud",1,15,White,Solid Colors,1,0.35
26047,6174937,26047,"Plate, Round 1 x 1 with Bar Handle on Side",1,15,White,Solid Colors,4,0.3
30153,6247785,30153,Rock 1 x 1 Jewel 24 Facet,17,36,Trans-Red,Transparent Colors,1,0.22
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
53451,6270106,53451,Barb / Claw / Horn - Small,1,15,White,Solid Colors,4,0.1
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
20,7.71,,,,,,,,
