BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2343,6107389,2343,"Minifigure, Utensil Goblet",95,179,Flat Silver,Pearl Colors,1,0.26
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
33492,6254404,33492,Cone 1 1/2 x 1 1/2 x 2/3 Truncated,86,71,Light Bluish Gray,Solid Colors,1,0.2
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
4073,4633691,4073,"Plate, Round 1 x 1",95,179,Flat Silver,Pearl Colors,1,0.12
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
92593,4598769,92593,"Plate, Modified 1 x 4 with 2 Studs without Groove",85,72,Dark Bluish Gray,Solid Colors,1,0.61
98138,4655241,98138,"Tile, Round 1 x 1",95,179,Flat Silver,Pearl Colors,2,0.11
98283,6000311,98283,"Brick, Modified 1 x 2 with Masonry Profile",85,72,Dark Bluish Gray,Solid Colors,4,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,8.139999,,,,,,,,
