BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,0.43
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.3
2431,4211053,2431,Tile 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.54
3005,4211098,3005,Brick 1 x 1,85,72,Dark Bluish Gray,Solid Colors,1,0.44
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3023,4211150,3023,Plate 1 x 2,88,70,Reddish Brown,Solid Colors,1,0.36
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
4865b,4616702,4865b,Panel 1 x 2 x 1 with Rounded Corners,88,70,Reddish Brown,Solid Colors,2,0.46
54200,4504376,54200,Slope 30 1 x 1 x 2/3,88,70,Reddish Brown,Solid Colors,2,0.21
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,2,0.38
85863,4552453,85863,Body Microfigure Plain Complete,1,15,White,Solid Colors,1,0.63
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,1,0.45
98283,6000311,98283,"Brick, Modified 1 x 2 with Masonry Profile",85,72,Dark Bluish Gray,Solid Colors,1,0.77
99207,6308045,99207,Bracket 1 x 2 - 2 x 2 Inverted,85,72,Dark Bluish Gray,Solid Colors,1,0
99780,6174856,99780,Bracket 1 x 2 - 1 x 2 Inverted,88,70,Reddish Brown,Solid Colors,1,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
23,11.17,,,,,,,,
