BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
22388,6256734,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,88,70,Reddish Brown,Solid Colors,1,0.16
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3069b,4211151,3069b,Tile 1 x 2 with Groove,88,70,Reddish Brown,Solid Colors,1,0.26
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,1,0.16
36840,6238874,36840,Bracket 1 x 1 - 1 x 1 Inverted,88,70,Reddish Brown,Solid Colors,2,0.29
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
10,3.48,,,,,,,,
