BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
22388,6127036,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,95,179,Flat Silver,Pearl Colors,2,0.16
3005,4211098,3005,Brick 1 x 1,85,72,Dark Bluish Gray,Solid Colors,1,0.44
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,4,0.26
4865,6146225,4865,Panel 1 x 2 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.46
6231,6025235,6231,Panel 1 x 1 x 1 Corner,85,72,Dark Bluish Gray,Solid Colors,3,0.3
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,8.12,,,,,,,,
