BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15397,6097283,15397,"Plate, Modified 3 x 3 Cross",11,0,Black,Solid Colors,1,0.85
22388,6312449,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,11,0,Black,Solid Colors,4,0
24946,,24946,Egg with Hole on Top,65,82,Metallic Gold,Metallic Colors,1,0.53
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
39262,6257048,39262,"Minifigure, Headgear Crown with 5 Points, Open Center Stud",115,297,Pearl Gold,Pearl Colors,1,0.1
54200,4504382,54200,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,4,0.21
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,4,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
16,6.54,,,,,,,,
