BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2420,4210635,2420,Plate 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,0.54
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,1,0.16
85861,6190252,85861,"Plate, Round 1 x 1 with Open Stud",115,297,Pearl Gold,Pearl Colors,6,0.1
99563,6207933,99563,"Minifigure, Utensil Ingot / Bar",115,297,Pearl Gold,Pearl Colors,3,0.22
98138,4649422,98138,"Tile, Round 1 x 1",115,297,Pearl Gold,Pearl Colors,1,0.11
98383,6081658,98383,"Minifigure, Utensil Genie Lamp / Teapot",115,297,Pearl Gold,Pearl Colors,1,0.3
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
15,4.21,,,,,,,,
