BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
10172,6181576,10172,"Minifigure, Utensil Trophy Cup Small",95,179,Flat Silver,Pearl Colors,1,0.6
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
4073,4633691,4073,"Plate, Round 1 x 1",95,179,Flat Silver,Pearl Colors,1,0.12
85861,6190252,85861,"Plate, Round 1 x 1 with Open Stud",115,297,Pearl Gold,Pearl Colors,3,0.1
98138,4655241,98138,"Tile, Round 1 x 1",95,179,Flat Silver,Pearl Colors,2,0.11
98138,4649422,98138,"Tile, Round 1 x 1",115,297,Pearl Gold,Pearl Colors,3,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
15,4.09,,,,,,,,
