BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
10169,,10169,"Minifigure, Utensil Sack / Bag with Handle",69,28,Dark Tan,Solid Colors,1,1.5
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.3
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.36
4073,4633691,4073,"Plate, Round 1 x 1",95,179,Flat Silver,Pearl Colors,1,0.12
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
98138,4655241,98138,"Tile, Round 1 x 1",95,179,Flat Silver,Pearl Colors,3,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
9,4.31,,,,,,,,
