BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,4,0.3
15712,6348057,15712,"Tile, Modified 1 x 1 with Open O Clip",88,70,Reddish Brown,Solid Colors,1,0.2
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3021,4211189,3021,Plate 2 x 3,88,70,Reddish Brown,Solid Colors,1,0.93
3069b,4211151,3069b,Tile 1 x 2 with Groove,88,70,Reddish Brown,Solid Colors,2,0.26
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,1,0.16
44658a,4542586,44658a,"Minifigure, Weapon Knife",85,72,Dark Bluish Gray,Solid Colors,1,0.1
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
15,4.79,,,,,,,,
