BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.36
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3069b,4211151,3069b,Tile 1 x 2 with Groove,88,70,Reddish Brown,Solid Colors,1,0.26
35480,6248944,35480,"Plate, Round 1 x 2 with Two Open Studs",88,70,Reddish Brown,Solid Colors,1,0.26
44658a,4542586,44658a,"Minifigure, Weapon Knife",85,72,Dark Bluish Gray,Solid Colors,2,0.1
4085d,6337003,4085d,"Plate, Modified 1 x 1 with Open O Clip Thick (Vertical Grip)",88,70,Reddish Brown,Solid Colors,2,0.29
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
9,2.56,,,,,,,,
