BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
24246,6256435,24246,"Tile, Round 1 x 1 Half Circle Extended (Stadium)",11,0,Black,Solid Colors,1,0.1
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.36
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
36840,6234695,36840,Bracket 1 x 1 - 1 x 1 Inverted,11,0,Black,Solid Colors,1,0.29
49668,4273590,49668,"Plate, Modified 1 x 1 with Tooth Horizontal",11,0,Black,Solid Colors,1,0.253
54200,4504382,54200,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,1,0.21
4073,614126,4073,"Plate, Round 1 x 1",11,0,Black,Solid Colors,1,0.12
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
99563,6208446,99563,"Minifigure, Utensil Ingot / Bar",95,179,Flat Silver,Pearl Colors,1,0.22
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
10,3.513,,,,,,,,
