BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,0.43
15712,6308012,15712,"Tile, Modified 1 x 1 with Open O Clip",86,71,Light Bluish Gray,Solid Colors,1,0.2
21445,6125569,21445,"Plate, Modified 1 x 2 with Wheel Holder",86,71,Light Bluish Gray,Solid Colors,1,0.44
2470,,2470,Wheel Wagon Small (27mm D.),8,6,Brown,Solid Colors,1,1.08
3005,4211389,3005,Brick 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.44
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
44300,4210882,44300,Hinge Tile 1 x 3 Locking with 1 Finger on Top,85,72,Dark Bluish Gray,Solid Colors,1,0.58
50340,6266209,50340,Hinge Plate 1 x 2 Locking with 2 Fingers on Side and 7 Teeth,86,71,Light Bluish Gray,Solid Colors,1,0
11402h,6103444,11402h,"Minifigure, Utensil Tool Cross Pein Hammer - 3-Rib Handle",95,179,Flat Silver,Pearl Colors,1,0.13
85984,4568637,85984,Slope 30 1 x 2 x 2/3,86,71,Light Bluish Gray,Solid Colors,1,0.34
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
13,7.1,,,,,,,,
