BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15571,6076203,15571,Slope 45 2 x 1 Triple with Bottom Stud Holder,85,72,Dark Bluish Gray,Solid Colors,2,0.34
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.3
2420,4210635,2420,Plate 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,0.54
25214,6151349,25214,"Brick, Round 1 x 1 d. 90 Degree Elbow - No Stud - Type 2 - Axle Hole",86,71,Light Bluish Gray,Solid Colors,1,0.68
26047,6157554,26047,"Plate, Round 1 x 1 with Bar Handle on Side",11,0,Black,Solid Colors,1,0.3
3005,4211098,3005,Brick 1 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.44
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
35480,6248944,35480,"Plate, Round 1 x 2 with Two Open Studs",88,70,Reddish Brown,Solid Colors,2,0.26
3659,4210999,3659,Arch 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.25
37775,6357747,37775,Wave Rounded Small with Pin (Candle Flame),98,1009009,Glow in Dark Orange,Milky Colors,2,0.1
54200,4504382,54200,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,1,0.21
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,1,0.38
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,1,0.45
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
92946,6069164,92946,Slope 45 2 x 1 with 2/3 Cutout,85,72,Dark Bluish Gray,Solid Colors,2,0.42
98283,6000311,98283,"Brick, Modified 1 x 2 with Masonry Profile",85,72,Dark Bluish Gray,Solid Colors,3,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
25,13.28,,,,,,,,
