BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,4,0.3
2431,4211356,2431.dat,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,0.54
2654,4278274,2654.dat,"Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)",85,72,Dark Bluish Gray,Solid Colors,2,0.45
2780,6279875,2780.dat,"Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center Slots",11,0,Black,Solid Colors,1,0.16
3005,4211389,3005.dat,Brick 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.44
3022,4211094,3022.dat,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3068b,4211413,3068b.dat,Tile 2 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,1,0.48
3700,4211440,3700.dat,"Technic, Brick 1 x 2 with Hole",86,71,Light Bluish Gray,Solid Colors,4,0.82
3795,4211002,3795.dat,Plate 2 x 6,85,72,Dark Bluish Gray,Solid Colors,1,1.74
4274,4211483,4274.dat,"Technic, Pin 1/2",86,71,Light Bluish Gray,Solid Colors,3,0.095
6541,4211535,6541.dat,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,3,0.38
85863,4552453,85863.dat,Body Microfigure Plain Complete,1,15,White,Solid Colors,1,0.63
87994,6310596,87994.dat,Bar   3L (Bar Arrow),85,72,Dark Bluish Gray,Solid Colors,4,0
30237b,6320297,95820.dat,"Brick, Modified 1 x 2 with Open O Clip Thick (Vertical Grip)",86,71,Light Bluish Gray,Solid Colors,1,1.0
98283,6000066,98283.dat,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,1,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
29,13.205,,,,,,,,
