BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
2431,4211356,2431,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,0.54
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,4211399,3024,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,4,0.2
3070b,6055172,3070b,Tile 1 x 1 with Groove (3070),69,28,Dark Tan,Solid Colors,3,0.16
3623,4211152,3623,Plate 1 x 3,88,70,Reddish Brown,Solid Colors,1,0.53
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
92338,6311445,92338,"Chain, 5 Links",85,72,Dark Bluish Gray,Solid Colors,2,0.33
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,2,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
19,7.89,,,,,,,,
