BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11476,6313114,11476,"Plate, Modified 1 x 2 with Clip on Side (Horizontal Grip)",86,71,Light Bluish Gray,Solid Colors,1,0.46
15712,6344022,15712,"Tile, Modified 1 x 1 with Open O Clip",85,72,Dark Bluish Gray,Solid Colors,1,0.2
2431,4211356,2431,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,0.54
3005,4211389,3005,Brick 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.44
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211398,3023,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,2,0.36
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,1,0.16
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
61482,,61482,"Minifigure, Utensil Handcuffs",85,72,Dark Bluish Gray,Solid Colors,1,0.16
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
93160,4600294,93160,"Bone, Short",1,15,White,Solid Colors,1,0.17
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,1,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
16,7.06,,,,,,,,
