BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
15712,6348057,15712,"Tile, Modified 1 x 1 with Open O Clip",88,70,Reddish Brown,Solid Colors,2,0.2
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,1,0.16
35480,6248944,35480,"Plate, Round 1 x 2 with Two Open Studs",88,70,Reddish Brown,Solid Colors,2,0.26
3623,4211152,3623,Plate 1 x 3,88,70,Reddish Brown,Solid Colors,1,0.53
11402h,6103444,11402h,"Minifigure, Utensil Tool Cross Pein Hammer - 3-Rib Handle",95,179,Flat Silver,Pearl Colors,1,0.13
11402a,6103444,11402a,"Minifigure, Utensil Tool Screwdriver - Wide Head - 3-Rib Handle",95,179,Flat Silver,Pearl Colors,1,0.09
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,2,0.12
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
16,6.37,,,,,,,,
