BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092590,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",88,70,Reddish Brown,Solid Colors,1,0.3
30153,6247798,30153,Rock 1 x 1 Jewel 24 Facet,12,47,Trans-Clear,Transparent Colors,2,0.22
3020,4211186,3020,Plate 2 x 4,88,70,Reddish Brown,Solid Colors,1,1.2
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3024,4549436,3024,Plate 1 x 1,69,28,Dark Tan,Solid Colors,1,0.2
3024,4221744,3024,Plate 1 x 1,88,70,Reddish Brown,Solid Colors,1,0.2
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3069b,4211151,3069b,Tile 1 x 2 with Groove,88,70,Reddish Brown,Solid Colors,1,0.26
3070b,6055172,3070b,Tile 1 x 1 with Groove (3070),69,28,Dark Tan,Solid Colors,1,0.16
34103,6251470,34103,"Plate, Modified 1 x 3 with 2 Studs (Double Jumper)",88,70,Reddish Brown,Solid Colors,1,0.43
3626b,6168665,3626b,"Minifigure, Head (Plain) - Blocked Open Stud",12,47,Trans-Clear,Transparent Colors,1,0.54
4589b,6301313,4589b,Cone 1 x 1 with Top Groove,14,33,Trans-Dark Blue,Transparent Colors,1,0.25
4589b,6337637,4589b,Cone 1 x 1 with Top Groove,50,37,Trans-Dark Pink,Transparent Colors,1,0.25
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
98138,4655241,98138,"Tile, Round 1 x 1",95,179,Flat Silver,Pearl Colors,1,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
21,7.22,,,,,,,,
