BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
32607,,32607,"Plant Plate, Round 1 x 1 with 3 Leaves",153,321,Dark Azure,Solid Colors,2,0.23
32607,6210460,32607,"Plant Plate, Round 1 x 1 with 3 Leaves",157,30,Medium Lavender,Solid Colors,3,0.23
33183,6078605,33183,Carrot Top / Twig,88,70,Reddish Brown,Solid Colors,2,0.16
34103,6251470,34103,"Plate, Modified 1 x 3 with 2 Studs (Double Jumper)",88,70,Reddish Brown,Solid Colors,1,0.43
3623,4211152,3623,Plate 1 x 3,88,70,Reddish Brown,Solid Colors,1,0.53
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,2,0.12
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
14,4.87,,,,,,,,
