BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
22388,6127036,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,95,179,Flat Silver,Pearl Colors,2,0.16
22484,6131711,22484,Bar   1L with Tow Ball,18,38,Trans-Neon Orange,Transparent Colors,4,0.22
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
32952,6228923,32952,"Brick, Modified 1 x 1 x 1 2/3 with Studs on 1 Side",85,72,Dark Bluish Gray,Solid Colors,4,0.7
92593,4598769,92593,"Plate, Modified 1 x 4 with 2 Studs without Groove",85,72,Dark Bluish Gray,Solid Colors,1,0.61
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
15,6.89,,,,,,,,
