BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
13793,6116470,13793,"Minifigure, Utensil Welding Gun",85,72,Dark Bluish Gray,Solid Colors,1,0.32
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
22388,6127036,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,95,179,Flat Silver,Pearl Colors,1,0.16
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,1,0.2
3062b,6223655,3062b,"Brick, Round 1 x 1 Open Stud",12,47,Trans-Clear,Transparent Colors,1,0.28
4070,4211044,4070,"Brick, Modified 1 x 1 with Headlight",85,72,Dark Bluish Gray,Solid Colors,1,0.36
30241b,6321350,30241b,"Brick, Modified 1 x 1 with Open O Clip (Vertical Grip) - Hollow Stud",85,72,Dark Bluish Gray,Solid Colors,1,0.58
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
92946,6069164,92946,Slope 45 2 x 1 with 2/3 Cutout,85,72,Dark Bluish Gray,Solid Colors,1,0.42
98375,6176749,98375,"Minifigure, Utensil Toy Winder Key",95,179,Flat Silver,Pearl Colors,1,0.18
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
12,4.8,,,,,,,,
