BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
22388,6127036,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,95,179,Flat Silver,Pearl Colors,1,0.16
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
30374,6116608,30374,Bar   4L (Lightsaber Blade / Wand),86,71,Light Bluish Gray,Solid Colors,1,0.3
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
4733,4210700,4733,"Brick, Modified 1 x 1 with Studs on 4 Sides",85,72,Dark Bluish Gray,Solid Colors,2,0.45
4740,6245306,4740,Dish 2 x 2 Inverted (Radar),12,47,Trans-Clear,Transparent Colors,4,0.28
54200,4504378,54200,Slope 30 1 x 1 x 2/3,85,72,Dark Bluish Gray,Solid Colors,8,0.21
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
20,6.38,,,,,,,,
