BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6133722,14719,Tile 2 x 2 Corner,11,0,Black,Solid Colors,1,0.43
2343,4505990,2343,"Minifigure, Utensil Goblet",115,297,Pearl Gold,Pearl Colors,1,0.26
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3024,302426,3024,Plate 1 x 1,11,0,Black,Solid Colors,1,0.2
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
47458,4218581,47458,"Slope, Curved 1 x 2 x 2/3 Wing End",11,0,Black,Solid Colors,2,0.44
99780,6020193,99780,Bracket 1 x 2 - 1 x 2 Inverted,11,0,Black,Solid Colors,2,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
11,5.23,,,,,,,,
