BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3070bpb009,6044150,3070bpb009,Tile 1 x 1 with Groove with Letter Capital A Pattern,11,0,Black,Solid Colors,3,0.13
3070bpb011,6044183,3070bpb011,Tile 1 x 1 with Groove with Letter Capital C Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb013,6044148,3070bpb013,Tile 1 x 1 with Groove with Letter Capital E Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb014,6044158,3070bpb014,Tile 1 x 1 with Groove with Letter Capital F Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb017,6044185,3070bpb017,Tile 1 x 1 with Groove with Letter Capital I Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb021,6044174,3070bpb021,Tile 1 x 1 with Groove with Letter Capital M Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb022,6044188,3070bpb022,Tile 1 x 1 with Groove with Letter Capital N Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb023,6044189,3070bpb023,Tile 1 x 1 with Groove with Letter Capital O Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb024,6044159,3070bpb024,Tile 1 x 1 with Groove with Letter Capital P Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb026,6044184,3070bpb026,Tile 1 x 1 with Groove with Letter Capital R Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb028,6044198,3070bpb028,Tile 1 x 1 with Groove with Letter Capital T Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb029,6044186,3070bpb029,Tile 1 x 1 with Groove with Letter Capital U Pattern,11,0,Black,Solid Colors,2,0.13
3070bpb032,6044212,3070bpb032,Tile 1 x 1 with Groove with Letter Capital 'X' Pattern,11,0,Black,Solid Colors,1,0.13
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,4.300001,,,,,,,,
