BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
37775,6357747,37775,Wave Rounded Small with Pin (Candle Flame),98,1009009,Glow in Dark Orange,Milky Colors,2,0.1
41682,6250020,41682,Bracket 2 x 2 - 1 x 2 Centered,11,0,Black,Solid Colors,1,0.81
54200,6040126,54200,Slope 30 1 x 1 x 2/3,69,28,Dark Tan,Solid Colors,2,0.21
61252,6308000,61252,"Plate, Modified 1 x 1 with Open O Clip (Horizontal Grip)",11,0,Black,Solid Colors,2,0.27
85984,4548180,85984,Slope 30 1 x 2 x 2/3,11,0,Black,Solid Colors,2,0.34
99780,6020193,99780,Bracket 1 x 2 - 1 x 2 Inverted,11,0,Black,Solid Colors,2,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
15,6.11,,,,,,,,
