BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11477,6167646,11477,"Slope, Curved 2 x 1",150,84,Medium Nougat,Solid Colors,1,0.31
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,6,0.3
22388,6256734,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,88,70,Reddish Brown,Solid Colors,2,0.16
3021,4211189,3021,Plate 2 x 3,88,70,Reddish Brown,Solid Colors,2,0.93
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.36
3024,4221744,3024,Plate 1 x 1,88,70,Reddish Brown,Solid Colors,3,0.2
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,1,0.16
3070b,6143431,3070b,Tile 1 x 1 with Groove (3070),68,484,Dark Orange,Solid Colors,3,0.16
3070b,6177146,3070b,Tile 1 x 1 with Groove (3070),150,84,Medium Nougat,Solid Colors,3,0.16
54200,6167690,54200,Slope 30 1 x 1 x 2/3,150,84,Medium Nougat,Solid Colors,1,0.21
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
30,9.799999,,,,,,,,
