BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
20482,6186681,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",1,15,White,Solid Colors,1,0.16
22388,6256734,22388,Slope 45 1 x 1 x 2/3 Quadruple Convex Pyramid,88,70,Reddish Brown,Solid Colors,2,0.16
3005,4211242,3005,Brick 1 x 1,88,70,Reddish Brown,Solid Colors,2,0.44
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3020,4211186,3020,Plate 2 x 4,88,70,Reddish Brown,Solid Colors,1,1.2
3023,4211150,3023,Plate 1 x 2,88,70,Reddish Brown,Solid Colors,1,0.36
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,1,0.16
3623,4211152,3623,Plate 1 x 3,88,70,Reddish Brown,Solid Colors,1,0.53
61409,6214443,61409,Slope 18 2 x 1 x 2/3 with 4 Slots,88,70,Reddish Brown,Solid Colors,2,0.3
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
4502a,6139343,4502a,"Minifigure, Plume Feather Small",1,15,White,Solid Colors,1,0.05
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
20,7.14,,,,,,,,
