BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15068,6146858,15068,"Slope, Curved 2 x 2",88,70,Reddish Brown,Solid Colors,2,0.57
2420,4210635,2420,Plate 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,0.54
25269,6294879,25269,"Tile, Round 1 x 1 Quarter",67,80,Metallic Silver,Metallic Colors,2,0
3004,4211149,3004,Brick 1 x 2,88,70,Reddish Brown,Solid Colors,1,0.8
30136,4211180,30136,"Brick, Modified 1 x 2 Log",88,70,Reddish Brown,Solid Colors,4,0.69
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3021,4211189,3021,Plate 2 x 3,88,70,Reddish Brown,Solid Colors,1,0.93
3023,4211150,3023,Plate 1 x 2,88,70,Reddish Brown,Solid Colors,3,0.36
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3069b,6217492,3069b,Tile 1 x 2 with Groove,67,80,Metallic Silver,Metallic Colors,2,0.26
44728,6117976,44728,Bracket 1 x 2 - 2 x 2,88,70,Reddish Brown,Solid Colors,1,0.8
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
99780,6174856,99780,Bracket 1 x 2 - 1 x 2 Inverted,88,70,Reddish Brown,Solid Colors,1,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
25,11.6,,,,,,,,
