BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092587,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",2,19,Tan,Solid Colors,1,0.3
27925,6226565,27925,"Tile, Round Corner 2 x 2 Macaroni",2,19,Tan,Solid Colors,1,0.3
3023,4113917,3023,Plate 1 x 2,2,19,Tan,Solid Colors,1,0.36
3024,4159553,3024,Plate 1 x 1,2,19,Tan,Solid Colors,1,0.2
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
30357,4543858,30357,"Plate, Round Corner 3 x 3",2,19,Tan,Solid Colors,1,1.18
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3069bpb0761,,3069bpb0761,Tile 1 x 2 with Groove with Black and White Piano Keys Pattern,1,15,White,Solid Colors,1,0.27
3070b,4125253,3070b,Tile 1 x 1 with Groove (3070),2,19,Tan,Solid Colors,1,0.16
3070b,307001,3070b,Tile 1 x 1 with Groove (3070),1,15,White,Solid Colors,1,0.16
33320,6006421,33320,Frog,95,179,Flat Silver,Pearl Colors,1,0.33
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,3,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
18,7.94,,,,,,,,
