BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.3
24246,6328180,24246,"Tile, Round 1 x 1 Half Circle Extended (Stadium)",88,70,Reddish Brown,Solid Colors,4,0
25269,6149677,25269,"Tile, Round 1 x 1 Quarter",88,70,Reddish Brown,Solid Colors,2,0.1
25269,6199549,25269,"Tile, Round 1 x 1 Quarter",85,72,Dark Bluish Gray,Solid Colors,2,0.1
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,4,0.16
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,2,0.16
54200,4504376,54200,Slope 30 1 x 1 x 2/3,88,70,Reddish Brown,Solid Colors,1,0.21
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,4.09,,,,,,,,
