BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3070bpb060,6044216,3070bpb060,Tile 1 x 1 with Groove with Silver Number 0 Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb061,6044208,3070bpb061,Tile 1 x 1 with Groove with Silver Number 1 Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb062,6044214,3070bpb062,Tile 1 x 1 with Groove with Silver Number 2 Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb063,6044205,3070bpb063,Tile 1 x 1 with Groove with Silver Number 3 Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb064,6044210,3070bpb064,Tile 1 x 1 with Groove with Silver Number 4 Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb065,6044213,3070bpb065,Tile 1 x 1 with Groove with Silver Number 5 Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb066,6044215,3070bpb066,Tile 1 x 1 with Groove with Silver Number 6 Pattern,11,0,Black,Solid Colors,2,0.13
3070bpb067,6044221,3070bpb067,Tile 1 x 1 with Groove with Silver Number 7 Pattern,11,0,Black,Solid Colors,1,0.13
3070bpb068,6044224,3070bpb068,Tile 1 x 1 with Groove with Silver Number 8 Pattern,11,0,Black,Solid Colors,1,0.13
4740,474026,4740,Dish 2 x 2 Inverted (Radar),11,0,Black,Solid Colors,10,0.28
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
20,4.1,,,,,,,,
