BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
4740,6245293,4740,Dish 2 x 2 Inverted (Radar),14,33,Trans-Dark Blue,Transparent Colors,1,0.28
4740,,4740,Dish 2 x 2 Inverted (Radar),4,25,Orange,Solid Colors,1,0.28
4740,4585146,4740,Dish 2 x 2 Inverted (Radar),5,4,Red,Solid Colors,1,0.28
4740,6245303,4740,Dish 2 x 2 Inverted (Radar),17,36,Trans-Red,Transparent Colors,1,0.28
4740,4567908,4740,Dish 2 x 2 Inverted (Radar),6,2,Green,Solid Colors,1,0.28
4740,6076601,4740,Dish 2 x 2 Inverted (Radar),20,34,Trans-Green,Transparent Colors,1,0.28
4740,6245306,4740,Dish 2 x 2 Inverted (Radar),12,47,Trans-Clear,Transparent Colors,1,0.28
4740,474001,4740,Dish 2 x 2 Inverted (Radar),1,15,White,Solid Colors,1,0.28
4740,6245310,4740,Dish 2 x 2 Inverted (Radar),98,57,Trans-Orange,Transparent Colors,1,0.28
4740,4570283,4740,Dish 2 x 2 Inverted (Radar),7,1,Blue,Solid Colors,1,0.28
4740,4272550,4740,Dish 2 x 2 Inverted (Radar),13,40,Trans-Black,Transparent Colors,1,0.28
4740,,4740,Dish 2 x 2 Inverted (Radar),47,5,Dark Pink,Solid Colors,1,0.28
4740,,4740,Dish 2 x 2 Inverted (Radar),55,379,Sand Blue,Solid Colors,1,0.28
4740,6245307,4740,Dish 2 x 2 Inverted (Radar),15,43,Trans-Light Blue,Transparent Colors,1,0.28
4740,6245302,4740,Dish 2 x 2 Inverted (Radar),50,37,Trans-Dark Pink,Transparent Colors,1,0.28
4740,474026,4740,Dish 2 x 2 Inverted (Radar),11,0,Black,Solid Colors,1,0.28
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
16,4.48,,,,,,,,
