BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11477,6249427,11477,"Slope, Curved 2 x 1",39,3,Dark Turquoise,Solid Colors,4,0.31
11477,6099728,11477,"Slope, Curved 2 x 1",110,191,Bright Light Orange,Solid Colors,4,0.31
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,4,0.3
15573,6066097,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",86,71,Light Bluish Gray,Solid Colors,2,0.3
20482,6186672,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",115,297,Pearl Gold,Pearl Colors,4,0.16
3020,6097511,3020,Plate 2 x 4,110,191,Bright Light Orange,Solid Colors,1,1.2
3022,4211397,3022,Plate 2 x 2,86,71,Light Bluish Gray,Solid Colors,1,0.64
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3070b,4211415,3070b,Tile 1 x 1 with Groove (3070),86,71,Light Bluish Gray,Solid Colors,1,0.16
34103,,34103,"Plate, Modified 1 x 3 with 2 Studs (Double Jumper)",110,191,Bright Light Orange,Solid Colors,2,0.43
36841,6248078,36841,Bracket 1 x 1 - 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.28
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,2,0.71
37762,6290401,37762,"Minifigure, Utensil Candle",115,297,Pearl Gold,Pearl Colors,4,0
49307,6262085,49307,"Slope, Curved 1 x 1 Double",86,71,Light Bluish Gray,Solid Colors,1,0
85861,6190252,85861,"Plate, Round 1 x 1 with Open Stud",115,297,Pearl Gold,Pearl Colors,4,0.1
92593,6173056,92593,"Plate, Modified 1 x 4 with 2 Studs without Groove",2,19,Tan,Solid Colors,2,0.61
99563,6134378,99563,"Minifigure, Utensil Ingot / Bar",86,71,Light Bluish Gray,Solid Colors,1,0.22
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
40,13.82,,,,,,,,
