BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6066097,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",86,71,Light Bluish Gray,Solid Colors,2,0.3
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3022,4211397,3022,Plate 2 x 2,86,71,Light Bluish Gray,Solid Colors,1,0.64
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3070b,4211415,3070b,Tile 1 x 1 with Groove (3070),86,71,Light Bluish Gray,Solid Colors,1,0.16
36841,6248078,36841,Bracket 1 x 1 - 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.28
49307,6262085,49307,"Slope, Curved 1 x 1 Double",86,71,Light Bluish Gray,Solid Colors,1,0
99563,6134378,99563,"Minifigure, Utensil Ingot / Bar",86,71,Light Bluish Gray,Solid Colors,1,0.22
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
12,4.54,,,,,,,,
