BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11090,6252838,11090,Bar Holder with Clip,115,297,Pearl Gold,Pearl Colors,1,0.24
11212,6115031,11212,Plate 3 x 3,2,19,Tan,Solid Colors,1,0
20482,6186672,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",115,297,Pearl Gold,Pearl Colors,1,0.16
3024,4159553,3024,Plate 1 x 1,2,19,Tan,Solid Colors,1,0.2
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3070b,4125253,3070b,Tile 1 x 1 with Groove (3070),2,19,Tan,Solid Colors,4,0.16
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,4,0.5
98138pb030,6104424,98138pb030,"Tile, Round 1 x 1 with Elves Earth Power Icon Pattern",20,34,Trans-Green,Transparent Colors,1,0.11
98138pb031,6104423,98138pb031,"Tile, Round 1 x 1 with Elves Water Power Icon Pattern",14,33,Trans-Dark Blue,Transparent Colors,1,0.11
98138pb034,6115827,98138pb034,"Tile, Round 1 x 1 with Elves Wind Power Icon Pattern",51,52,Trans-Purple,Transparent Colors,1,0.11
98138pb032,6104419,98138pb032,"Tile, Round 1 x 1 with Elves Fire Power Icon Pattern",17,36,Trans-Red,Transparent Colors,1,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,5.900001,,,,,,,,
