BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11096,6020600,11096,"Minifigure, Weapon Axe Head, Twin Bladed",115,297,Pearl Gold,Pearl Colors,1,0.68
20482,6186672,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",115,297,Pearl Gold,Pearl Colors,1,0.16
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,4159553,3024,Plate 1 x 1,2,19,Tan,Solid Colors,2,0.2
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
35649,,35649,"Tile, Modified 1 x 2 Diamond",19,46,Trans-Yellow,Transparent Colors,1,0.24
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
9,3.7,,,,,,,,
