BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,4,0.3
27925,,27925,"Tile, Round Corner 2 x 2 Macaroni",88,70,Reddish Brown,Solid Colors,1,0.3
3005,4211242,3005,Brick 1 x 1,88,70,Reddish Brown,Solid Colors,2,0.44
30137,4211181,30137,"Brick, Modified 1 x 4 Log",88,70,Reddish Brown,Solid Colors,1,1.27
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.36
3035,4211061,3035,Plate 4 x 8,85,72,Dark Bluish Gray,Solid Colors,1,4.7
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,3,0.48
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,2,0.16
3666,4211056,3666,Plate 1 x 6,85,72,Dark Bluish Gray,Solid Colors,1,1.06
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,5,0.12
85080,6322211,85080,"Brick, Round Corner 2 x 2 Macaroni with Stud Notch and Reinforced Underside",88,70,Reddish Brown,Solid Colors,1,0
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
92593,6210077,92593,"Plate, Modified 1 x 4 with 2 Studs without Groove",88,70,Reddish Brown,Solid Colors,1,0.61
98138,6284586,98138,"Tile, Round 1 x 1",88,70,Reddish Brown,Solid Colors,5,0.11
98138,6274738,98138,"Tile, Round 1 x 1",12,47,Trans-Clear,Transparent Colors,1,0.11
98138,4649422,98138,"Tile, Round 1 x 1",115,297,Pearl Gold,Pearl Colors,1,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
31,14.01,,,,,,,,
