BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
30136,4211180,30136,"Brick, Modified 1 x 2 Log",88,70,Reddish Brown,Solid Colors,2,0.69
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211150,3023,Plate 1 x 2,88,70,Reddish Brown,Solid Colors,2,0.36
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
3710,4211190,3710,Plate 1 x 4,88,70,Reddish Brown,Solid Colors,2,0.71
41740,6257604,41740,"Plate, Modified 1 x 4 with 2 Studs with Groove",88,70,Reddish Brown,Solid Colors,2,0
4073,6240030,4073,"Plate, Round 1 x 1",12,47,Trans-Clear,Transparent Colors,2,0.12
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
85861,6190252,85861,"Plate, Round 1 x 1 with Open Stud",115,297,Pearl Gold,Pearl Colors,3,0.1
85984,6035291,85984,Slope 30 1 x 2 x 2/3,88,70,Reddish Brown,Solid Colors,2,0.34
98138,4649422,98138,"Tile, Round 1 x 1",115,297,Pearl Gold,Pearl Colors,3,0.11
98138,6274738,98138,"Tile, Round 1 x 1",12,47,Trans-Clear,Transparent Colors,4,0.11
99780,6174856,99780,Bracket 1 x 2 - 1 x 2 Inverted,88,70,Reddish Brown,Solid Colors,2,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
32,9.49,,,,,,,,
