BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,4,0.3
26603,6311441,26603,Tile 2 x 3,88,70,Reddish Brown,Solid Colors,2,0
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3021,4211189,3021,Plate 2 x 3,88,70,Reddish Brown,Solid Colors,2,0.93
3068b,4507045,3068b,Tile 2 x 2 with Groove,69,28,Dark Tan,Solid Colors,2,0.48
85984,6015449,85984,Slope 30 1 x 2 x 2/3,69,28,Dark Tan,Solid Colors,2,0.34
99780,6174856,99780,Bracket 1 x 2 - 1 x 2 Inverted,88,70,Reddish Brown,Solid Colors,4,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,8.1,,,,,,,,
