BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11477,6167646,11477,"Slope, Curved 2 x 1",150,84,Medium Nougat,Solid Colors,1,0.31
25269,6228968,25269,"Tile, Round 1 x 1 Quarter",68,484,Dark Orange,Solid Colors,1,0.1
25269,6248536,25269,"Tile, Round 1 x 1 Quarter",150,84,Medium Nougat,Solid Colors,1,0.1
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3021,4211189,3021,Plate 2 x 3,88,70,Reddish Brown,Solid Colors,1,0.93
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3023,4211398,3023,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,1,0.36
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.36
3024,6215606,3024,Plate 1 x 1,150,84,Medium Nougat,Solid Colors,1,0.2
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3070b,6143431,3070b,Tile 1 x 1 with Groove (3070),68,484,Dark Orange,Solid Colors,1,0.16
3070b,6177146,3070b,Tile 1 x 1 with Groove (3070),150,84,Medium Nougat,Solid Colors,1,0.16
49307,6262085,49307,"Slope, Curved 1 x 1 Double",86,71,Light Bluish Gray,Solid Colors,2,0
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
18,5.26,,,,,,,,
