BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15208,6267421,15208,"Plate, Modified 1 x 2 with 3 Teeth (Claws)",158,326,Yellowish Green,Solid Colors,1,0
2420,4211257,2420,Plate 2 x 2 Corner,88,70,Reddish Brown,Solid Colors,2,0.54
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3023,4211150,3023,Plate 1 x 2,88,70,Reddish Brown,Solid Colors,1,0.36
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3070bpb081,6251308,3070bpb081,Tile 1 x 1 with Groove with Black Keyhole and 4 Dots on Silver Background Pattern,86,71,Light Bluish Gray,Solid Colors,1,0.16
4070,4225469,4070,"Brick, Modified 1 x 1 with Headlight",88,70,Reddish Brown,Solid Colors,2,0.36
41682,6258820,41682,Bracket 2 x 2 - 1 x 2 Centered,86,71,Light Bluish Gray,Solid Colors,2,0.81
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
85984,6035291,85984,Slope 30 1 x 2 x 2/3,88,70,Reddish Brown,Solid Colors,2,0.34
98138pb109,,98138pb109,"Tile, Round 1 x 1 with Lime Eye with Black Pupil Partially Closed Pattern",158,326,Yellowish Green,Solid Colors,1,0.12
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
21,7.66,,,,,,,,
