BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
18674,6102360,18674,"Tile, Round 2 x 2 with Open Stud",88,70,Reddish Brown,Solid Colors,1,0.35
24866,6206150,24866,"Plate, Round 1 x 1 with Flower Edge (5 Petals)",36,10,Bright Green,Solid Colors,1,0.08
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,1,0.16
4032b,4211159,4032b,"Plate, Round 2 x 2 with Axle Hole (x Shape)",88,70,Reddish Brown,Solid Colors,1,0.41
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,2,0.12
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
9,3.44,,,,,,,,
