BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
18674,,18674,"Tile, Round 2 x 2 with Open Stud",155,330,Olive Green,Solid Colors,1,0.35
18674,6102360,18674,"Tile, Round 2 x 2 with Open Stud",88,70,Reddish Brown,Solid Colors,1,0.35
27925,6218089,27925,"Tile, Round Corner 2 x 2 Macaroni",155,330,Olive Green,Solid Colors,4,0.3
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
30374,6170187,30374,Bar   4L (Lightsaber Blade / Wand),15,43,Trans-Light Blue,Transparent Colors,1,0.3
60474,6024666,60474,"Plate, Round 4 x 4 with Hole",155,330,Olive Green,Solid Colors,1,1.6
4073,4216581,4073,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
85861,6174023,85861,"Plate, Round 1 x 1 with Open Stud",98,1009009,Glow in Dark Orange,Milky Colors,4,0.1
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,4,0.5
98138,6284586,98138,"Tile, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.11
98284,6313506,98284,"Plate, Round 2 x 2 with Pin Hole and 4 Arms Up",88,70,Reddish Brown,Solid Colors,1,0.96
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
26,10.3,,,,,,,,
