BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
12885,6192778,12885,"Minifigure, Utensil Paint Roller Brush Handle",11,0,Black,Solid Colors,1,0.22
4733,4210700,4733,"Brick, Modified 1 x 1 with Studs on 4 Sides",85,72,Dark Bluish Gray,Solid Colors,1,0.45
4740,474026,4740,Dish 2 x 2 Inverted (Radar),11,0,Black,Solid Colors,1,0.28
53451,6270108,53451,Barb / Claw / Horn - Small,95,179,Flat Silver,Pearl Colors,4,0.1
85861,6231765,85861,"Plate, Round 1 x 1 with Open Stud",85,72,Dark Bluish Gray,Solid Colors,1,0.1
85861,6168646,85861,"Plate, Round 1 x 1 with Open Stud",11,0,Black,Solid Colors,1,0.1
98138pb007,6284599,98138pb007,"Tile, Round 1 x 1 with Black Eye with Pupil Pattern",1,15,White,Solid Colors,1,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
10,1.66,,,,,,,,
