BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15254,6106191,15254,Arch 1 x 6 x 2 - Medium Thick Top without Reinforced Underside,85,72,Dark Bluish Gray,Solid Colors,2,2.53
2420,4210635,2420,Plate 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,4,0.54
3004,4211088,3004,Brick 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.8
3005,4211098,3005,Brick 1 x 1,85,72,Dark Bluish Gray,Solid Colors,4,0.44
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,6,0.36
3035,4211061,3035,Plate 4 x 8,85,72,Dark Bluish Gray,Solid Colors,1,4.7
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,8,0.48
3665,4211096,3665,"Slope, Inverted 45 2 x 1",85,72,Dark Bluish Gray,Solid Colors,4,0.66
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,2,0.38
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,2,0.45
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
35,25.58,,,,,,,,
