BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2357,4211109,2357,Brick 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,1.25
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,4,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,8,0.36
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,8,0.48
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,2,1.36
3622,4211104,3622,Brick 1 x 3,85,72,Dark Bluish Gray,Solid Colors,2,1.24
3666,4211056,3666,Plate 1 x 6,85,72,Dark Bluish Gray,Solid Colors,2,1.06
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,2,0.71
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,2,0.38
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,2,0.45
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
34,24.42,,,,,,,,
