BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
13571c01,6034984,13571c01,"Minifigure, Weapon Tomahawk with Flat Silver Blade",88,70,Reddish Brown,Solid Colors,1,0.21
15070,6186013,15070,"Plate, Modified 1 x 1 with Tooth Vertical",86,71,Light Bluish Gray,Solid Colors,1,0.25
3005,4211389,3005,Brick 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.44
3023,4211398,3023,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,2,0.36
3024,4211399,3024,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.2
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,3,0.2
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4211414,3069b,Tile 1 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,2,0.26
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,3,0.16
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
30241,4533772,30241,"Brick, Modified 1 x 1 with Open U Clip (Vertical Grip) - Solid Stud",86,71,Light Bluish Gray,Solid Colors,1,0.59
4085d,6296894,4085d,"Plate, Modified 1 x 1 with Open O Clip Thick (Vertical Grip)",86,71,Light Bluish Gray,Solid Colors,1,0.29
4073,4211525,4073,"Plate, Round 1 x 1",86,71,Light Bluish Gray,Solid Colors,2,0.12
4073,6315780,4073,"Plate, Round 1 x 1",120,308,Dark Brown,Solid Colors,2,0
64644,4538950,64644,"Minifigure, Utensil Telescope",120,308,Dark Brown,Solid Colors,2,0.22
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
6636,4211549,6636,Tile 1 x 6,86,71,Light Bluish Gray,Solid Colors,1,0.83
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
98138,6284071,98138,"Tile, Round 1 x 1",86,71,Light Bluish Gray,Solid Colors,1,0.11
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,5,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
35,14.93,,,,,,,,
