BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
13571c01,6034984,13571c01,"Minifigure, Weapon Tomahawk with Flat Silver Blade",88,70,Reddish Brown,Solid Colors,2,0.21
25269,6311890,25269,"Tile, Round 1 x 1 Quarter",59,320,Dark Red,Solid Colors,1,0
25269,6214457,25269,"Tile, Round 1 x 1 Quarter",110,191,Bright Light Orange,Solid Colors,1,0.1
3023,4211398,3023,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,4,0.36
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.2
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4211414,3069b,Tile 1 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,2,0.26
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3070b,6065504,3070b,Tile 1 x 1 with Groove (3070),110,191,Bright Light Orange,Solid Colors,2,0.16
3070b,4550169,3070b,Tile 1 x 1 with Groove (3070),59,320,Dark Red,Solid Colors,2,0.16
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,2,0.16
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
60475b,4533772,60475b,"Brick, Modified 1 x 1 with Open U Clip (Vertical Grip) - Solid Stud",86,71,Light Bluish Gray,Solid Colors,2,0.59
4073,6315780,4073,"Plate, Round 1 x 1",120,308,Dark Brown,Solid Colors,2,0
64644,4538950,64644,"Minifigure, Utensil Telescope",120,308,Dark Brown,Solid Colors,2,0.22
6541,4211535,6541,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,1,0.38
6636,4211549,6636,Tile 1 x 6,86,71,Light Bluish Gray,Solid Colors,1,0.83
87087,4558953,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",86,71,Light Bluish Gray,Solid Colors,1,0.45
98283,6000066,98283,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,4,0.77
99207,4654580,99207,Bracket 1 x 2 - 2 x 2 Inverted,86,71,Light Bluish Gray,Solid Colors,1,0.8
99781,4654582,99781,Bracket 1 x 2 - 1 x 2,86,71,Light Bluish Gray,Solid Colors,1,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
37,15.7,,,,,,,,
