BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
15573,6066097,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",86,71,Light Bluish Gray,Solid Colors,2,0.3
2780,6279875,2780.dat,"Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center Slots",11,0,Black,Solid Colors,1,0.16
30044,6143849,30044.dat,Window 1 x 2 x 2 2/3 with Rounded Top,85,72,Dark Bluish Gray,Solid Colors,2,0.95
30045,4105221,30045.dat,Pane for Window 1 x 2 x 2 2/3 Twisted Bar with Rounded Top,11,0,Black,Solid Colors,2,0.27
3023,4211398,3023.dat,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,4,0.36
3024,4211399,3024.dat,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,5,0.2
3031,4243838,3031.dat,Plate 4 x 4,88,70,Reddish Brown,Solid Colors,1,2.22
3068b,4271949,3068b.dat,Tile 2 x 2 with Groove,88,70,Reddish Brown,Solid Colors,2,0.48
3069b,4211414,3069b.dat,Tile 1 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,1,0.26
3069b,4211151,3069b.dat,Tile 1 x 2 with Groove,88,70,Reddish Brown,Solid Colors,2,0.26
3659,4211435,3659.dat,Arch 1 x 4,86,71,Light Bluish Gray,Solid Colors,2,1.25
36841,6248078,36841.dat,Bracket 1 x 1 - 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.28
3700,4211440,3700.dat,"Technic, Brick 1 x 2 with Hole",86,71,Light Bluish Gray,Solid Colors,2,0.82
3795,4211002,3795.dat,Plate 2 x 6,85,72,Dark Bluish Gray,Solid Colors,1,1.74
4274,4211483,4274.dat,"Technic, Pin 1/2",86,71,Light Bluish Gray,Solid Colors,1,0.095
44301a,4210883,44301.dat,Hinge Plate 1 x 2 Locking with 1 Finger On End with Bottom Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.5
44302a,4521427,44302.dat,Hinge Plate 1 x 2 Locking with 2 Fingers on End and 9 Teeth with Bottom Groove,88,70,Reddish Brown,Solid Colors,2,0.5
54200,4521921,54200.dat,Slope 30 1 x 1 x 2/3,86,71,Light Bluish Gray,Solid Colors,6,0.21
6541,4211535,6541.dat,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,3,0.38
92338,6311445,92338c01.dat,Chain 5 Links,85,72,Dark Bluish Gray,Solid Colors,2,0.33
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
47,21.795,,,,,,,,
