BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,8,0.3
15573,6092597,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",59,320,Dark Red,Solid Colors,1,0.3
25269,,25269.dat,"Tile, Round 1 x 1 Quarter",59,320,Dark Red,Solid Colors,2,0.1
2780,6279875,2780.dat,"Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center Slots",11,0,Black,Solid Colors,1,0.16
3021,4211043,3021.dat,Plate 2 x 3,85,72,Dark Bluish Gray,Solid Colors,2,0.93
3022,4585479,3022.dat,Plate 2 x 2,59,320,Dark Red,Solid Colors,1,0.64
3022,4211094,3022.dat,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3068b,4211413,3068b.dat,Tile 2 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,1,0.48
3069b,4539090,3069b.dat,Tile 1 x 2 with Groove,59,320,Dark Red,Solid Colors,1,0.26
3070b,4550169,3070b.dat,Tile 1 x 1 with Groove (3070),59,320,Dark Red,Solid Colors,2,0.16
3070b,6065504,3070b.dat,Tile 1 x 1 with Groove (3070),110,191,Bright Light Orange,Solid Colors,1,0.16
34103,6208727,34103.dat,"Plate, Modified 1 x 3 with 2 Studs (Double Jumper)",59,320,Dark Red,Solid Colors,2,0.43
36840,6238874,36840.dat,Bracket 1 x 1 - 1 x 1 Inverted,88,70,Reddish Brown,Solid Colors,1,0.29
3700,4211440,3700.dat,"Technic, Brick 1 x 2 with Hole",86,71,Light Bluish Gray,Solid Colors,4,0.82
3710,4211445,3710.dat,Plate 1 x 4,86,71,Light Bluish Gray,Solid Colors,2,0.71
3832,4210678,3832.dat,Plate 2 x 10,85,72,Dark Bluish Gray,Solid Colors,1,2.91
4162,4211481,4162.dat,Tile 1 x 8,86,71,Light Bluish Gray,Solid Colors,1,1.06
4274,4211483,4274.dat,"Technic, Pin 1/2",86,71,Light Bluish Gray,Solid Colors,3,0.095
49668,6248946,49668.dat,"Plate, Modified 1 x 1 with Tooth Horizontal",88,70,Reddish Brown,Solid Colors,1,0.253
6541,4211535,6541.dat,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,4,0.38
98283,6000066,98283.dat,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,4,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
44,22.378,,,,,,,,
