BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
13571c01,6034984,13571.dat,"Minifigure, Weapon Tomahawk with Flat Silver Blade",88,70,Reddish Brown,Solid Colors,1,0.21
15070,6186013,15070.dat,"Plate, Modified 1 x 1 with Tooth Vertical",86,71,Light Bluish Gray,Solid Colors,1,0.25
15573,6092572,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,6,0.3
2780,6279875,2780.dat,"Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center Slots",11,0,Black,Solid Colors,1,0.16
3022,4211094,3022.dat,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3023,4211398,3023.dat,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,2,0.36
3024,4211399,3024.dat,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.2
3034,4210997,3034.dat,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3068b,4211413,3068b.dat,Tile 2 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,1,0.48
3700,4211440,3700.dat,"Technic, Brick 1 x 2 with Hole",86,71,Light Bluish Gray,Solid Colors,4,0.82
4274,4211483,4274.dat,"Technic, Pin 1/2",86,71,Light Bluish Gray,Solid Colors,3,0.095
30241,4533772,60475a.dat,"Brick, Modified 1 x 1 with Open U Clip (Vertical Grip) - Solid Stud",86,71,Light Bluish Gray,Solid Colors,1,0.59
4085d,6296894,60897.dat,"Plate, Modified 1 x 1 with Open O Clip Thick (Vertical Grip)",86,71,Light Bluish Gray,Solid Colors,1,0.29
4073,4211525,6141.dat,"Plate, Round 1 x 1",86,71,Light Bluish Gray,Solid Colors,2,0.12
6541,4211535,6541.dat,"Technic, Brick 1 x 1 with Hole",86,71,Light Bluish Gray,Solid Colors,6,0.38
6636,4211549,6636.dat,Tile 1 x 6,86,71,Light Bluish Gray,Solid Colors,1,0.83
98138,6284071,98138.dat,"Tile, Round 1 x 1",86,71,Light Bluish Gray,Solid Colors,1,0.11
98283,6000066,98283.dat,"Brick, Modified 1 x 2 with Masonry Profile",86,71,Light Bluish Gray,Solid Colors,2,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
36,16.175,,,,,,,,
