BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2639,4539429,2639,Plate 4 x 4 Corner,85,72,Dark Bluish Gray,Solid Colors,1,1.75
3005,4211098,3005,Brick 1 x 1,85,72,Dark Bluish Gray,Solid Colors,1,0.44
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.2
3040,4211135,3040,Slope 45 2 x 1,85,72,Dark Bluish Gray,Solid Colors,2,0.69
3046a,4210702,3046a,Slope 45 2 x 2 Double Concave,85,72,Dark Bluish Gray,Solid Colors,1,1.11
54200,4504378,54200,Slope 30 1 x 1 x 2/3,85,72,Dark Bluish Gray,Solid Colors,2,0.21
60481,6013658,60481,Slope 65 2 x 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,1.16
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,1,0.38
85984,4567887,85984,Slope 30 1 x 2 x 2/3,85,72,Dark Bluish Gray,Solid Colors,2,0.34
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,1,0.45
92946,6069164,92946,Slope 45 2 x 1 with 2/3 Cutout,85,72,Dark Bluish Gray,Solid Colors,1,0.42
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,10.39,,,,,,,,
