BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2431pb243,6022445,2431pb243,Tile 1 x 4 with Wood Grain and 4 Nails Pattern,88,70,Reddish Brown,Solid Colors,1,0.58
28192,6248854,28192,Slope 45 2 x 1 with Cutout without Stud,88,70,Reddish Brown,Solid Colors,2,0
3005,4211242,3005,Brick 1 x 1,88,70,Reddish Brown,Solid Colors,2,0.44
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3024,4221744,3024,Plate 1 x 1,88,70,Reddish Brown,Solid Colors,4,0.2
3068b,4211055,3068b,Tile 2 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,1,0.48
4070,4225469,4070,"Brick, Modified 1 x 1 with Headlight",88,70,Reddish Brown,Solid Colors,2,0.36
6541,4620075,6541,"Technic, Brick 1 x 1 with Hole",88,70,Reddish Brown,Solid Colors,1,0.38
87087,6062574,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",88,70,Reddish Brown,Solid Colors,1,0.45
92593,6210077,92593,"Plate, Modified 1 x 4 with 2 Studs without Groove",88,70,Reddish Brown,Solid Colors,1,0.61
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
18,6.82,,,,,,,,
