BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,0.43
2357,4211109,2357,Brick 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,1.25
3004,4211088,3004,Brick 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.8
3010,4211103,3010,Brick 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.64
3021,4211043,3021,Plate 2 x 3,85,72,Dark Bluish Gray,Solid Colors,2,0.93
3022,4211094,3022,Plate 2 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.64
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,4,0.2
3031,4243831,3031,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,2,0.16
54200,4504378,54200,Slope 30 1 x 1 x 2/3,85,72,Dark Bluish Gray,Solid Colors,3,0.21
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,2,0.38
85984,4567887,85984,Slope 30 1 x 2 x 2/3,85,72,Dark Bluish Gray,Solid Colors,1,0.34
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,2,0.45
92946,6069164,92946,Slope 45 2 x 1 with 2/3 Cutout,85,72,Dark Bluish Gray,Solid Colors,2,0.42
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
28,14.67,,,,,,,,
